DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,CM_mW,FAIL
02.13:04:18,1280,0.0,1.3788,0.0,33294,14973,8605,6368,1.3097,0.0,34027,29783,33.656,95.431,84.2,49023,46261,32948,526,0,0,19781,182.8,0.0
02.13:04:28,1290,0.0,1.3795,0.0,33153,14955,8593,6362,1.3111,0.0,34035,29789,33.656,95.431,84.2,49018,46261,33002,540,0,0,19781,179.7,0.0
02.13:04:38,1300,0.0,1.3781,0.0,33295,14949,8627,6322,1.3097,0.0,34015,29772,33.656,95.431,84.2,49021,46260,32941,519,0,0,19781,176.6,0.0
02.13:04:48,1310,0.0,1.3788,0.0,33457,14956,8625,6331,1.3097,0.0,34020,29807,33.656,95.431,84.2,49020,46261,32960,551,0,0,19781,176.6,0.0
02.13:04:58,1320,0.0,1.3781,0.0,33283,14939,8581,6358,1.3097,0.0,34032,29799,33.656,95.431,84.2,49020,46261,32980,517,0,0,19781,179.7,0.0
02.13:05:08,1330,0.0,1.3781,0.0,33128,14945,8600,6345,1.3097,0.0,34020,29835,33.656,95.43,84.2,49023,46269,32972,514,0,0,19781,176.6,0.0
02.13:05:18,1340,0.0,1.3795,0.0,33250,14941,8614,6327,1.3097,0.0,33993,29781,33.656,95.431,84.2,49010,46261,32917,540,0,0,19781,179.7,0.0
02.13:05:28,1350,0.0,1.3788,0.0,33892,14938,8606,6332,1.3097,0.0,34017,29775,33.656,95.431,84.2,49018,46269,32991,526,0,0,19781,179.7,0.0
02.13:05:38,1360,0.0,1.3781,0.0,33345,14958,8609,6349,1.3097,0.0,34052,29803,33.656,95.431,84.2,49030,46269,33011,526,0,0,19781,176.6,0.0
02.13:05:48,1370,0.0,1.3781,0.0,33281,14971,8622,6349,1.3097,0.0,34032,29814,33.656,95.431,84.2,49024,46262,32935,532,0,0,19781,176.6,0.0
02.13:05:58,1380,0.0,1.3788,0.0,33314,14949,8624,6325,1.3097,0.0,34020,29813,33.656,95.431,84.2,49023,46262,32979,543,0,0,19781,182.8,0.0
02.13:06:08,1390,0.0,1.3788,0.0,33292,14953,8621,6332,1.3097,0.0,34021,29789,33.656,95.431,84.2,49021,46254,32972,524,0,0,19781,179.7,0.0
02.13:06:18,1400,0.0,1.3795,0.0,33281,14969,8624,6345,1.3097,0.0,34058,29773,33.656,95.431,84.2,49029,46262,32994,523,0,0,19781,176.6,0.0
02.13:06:28,1410,0.0,1.3781,0.0,33126,14954,8601,6353,1.3097,0.0,34020,29838,33.656,95.431,84.2,49014,46262,32906,522,0,0,19781,176.6,0.0
02.13:06:38,1420,0.0,1.3795,0.0,33119,14945,8625,6320,1.3097,0.0,34022,29838,33.656,95.431,84.2,49015,46262,32988,546,0,0,19781,179.7,0.0
02.13:06:48,1430,0.0,1.3788,0.0,33347,14968,8616,6352,1.3097,0.0,34031,29827,33.688,95.431,84.2,49027,46270,32976,529,0,0,19781,182.8,0.0
02.13:06:58,1440,0.0,1.3788,0.0,33040,14935,8570,6365,1.3097,0.0,33963,29785,33.688,95.431,84.2,49011,46262,32880,522,0,0,19781,176.6,0.0
02.13:07:08,1450,0.0,1.3774,0.0,33185,14969,8621,6348,1.3097,0.0,34019,29814,33.656,95.431,84.2,49020,46262,32895,529,0,0,19781,179.7,0.0
02.13:07:18,1460,0.0,1.3781,0.0,33242,14965,8603,6362,1.3111,0.0,34001,29790,33.625,95.432,84.2,49019,46262,32958,529,0,0,19781,179.7,0.0
02.13:07:28,1470,0.0,1.3788,0.0,33068,14967,8610,6357,1.3097,0.0,34012,29791,33.656,95.43,84.2,49030,46262,32942,514,0,0,19781,176.6,0.0
02.13:07:38,1480,0.0,1.3795,0.0,33124,14941,8592,6349,1.3097,0.0,34009,29806,33.656,95.431,84.2,49016,46262,32938,523,0,0,19781,176.6,0.0
02.13:07:48,1490,0.0,1.3788,0.0,33892,14949,8605,6344,1.3111,0.0,33995,29813,33.656,95.431,84.2,49016,46255,32931,529,0,0,19781,182.8,0.0
